站点,日期,时间,纬度,经度,风向,风速,浪高,周期,修正风向,修正风速,修正浪高,修正周期,1小时前修正风向,1小时前修正风速,1小时前修正浪高,1小时前修正周期,2小时前修正风向,2小时前修正风速,2小时前修正浪高,2小时前修正周期
NJI,1,0,27.5N,121.1E,147,3.8,0.6,6.7,147,3.8,0.6,6.7,147,3.8,0.6,6.7,147,3.8,0.6,6.7
NJI,1,1,27.5N,121.1E,158,3.6,0.6,7.5,158,3.6,0.6,7.5,147,3.8,0.6,6.7,147,3.8,0.6,6.7
NJI,1,2,27.5N,121.1E,156,3.2,0.5,7.4,156,3.2,0.5,7.4,158,3.6,0.6,7.5,147,3.8,0.6,6.7
NJI,1,3,27.5N,121.1E,170,3.5,0.7,8.3,170,3.5,0.7,8.3,156,3.2,0.5,7.4,158,3.6,0.6,7.5
NJI,1,4,27.5N,121.1E,169,3,0.6,7.8,169,3,0.6,7.8,170,3.5,0.7,8.3,156,3.2,0.5,7.4
NJI,1,5,27.5N,121.1E,232,2.7,0.6,7.6,232,2.7,0.6,7.6,169,3,0.6,7.8,170,3.5,0.7,8.3
NJI,1,6,27.5N,121.1E,205,1.9,0.7,8.4,205,1.9,0.7,8.4,232,2.7,0.6,7.6,169,3,0.6,7.8
NJI,1,7,27.5N,121.1E,213,2.1,0.8,8,213,2.1,0.8,8,205,1.9,0.7,8.4,232,2.7,0.6,7.6
NJI,1,8,27.5N,121.1E,171,1.2,0.8,7.7,171,1.2,0.8,7.7,213,2.1,0.8,8,205,1.9,0.7,8.4
NJI,1,9,27.5N,121.1E,144,1.5,0.8,7.3,144,1.5,0.8,7.3,171,1.2,0.8,7.7,213,2.1,0.8,8
NJI,1,10,27.5N,121.1E,141,1,0.7,7.4,141,1,0.7,7.4,144,1.5,0.8,7.3,171,1.2,0.8,7.7
NJI,1,11,27.5N,121.1E,130,2.1,0.8,7.2,130,2.1,0.8,7.2,141,1,0.7,7.4,144,1.5,0.8,7.3
